domain,dns_resolves,ip_address,https_works,http_works,status_code,title,final_url,error
mpgb.fin.in,False,,False,False,,,,
mpgbuat.fin.in,False,,False,False,,,,
mrb.fin.in,False,,False,False,,,,
mrbuat.fin.in,False,,False,False,,,,
msc.fin.in,False,,False,False,,,,
muthoot.fin.in,False,,False,False,,,,
mwcb.fin.in,False,,False,False,,,,
mysib.fin.in,False,,False,False,,,,
national insurance.fin.in,False,,False,False,,,,
navsarjanind.fin.in,False,,False,False,,,,
nbfc.fin.in,False,,False,False,,,,
ncdex.fin.in,False,,False,False,,,,
ndsl.fin.in,False,,False,False,,,,
neo.fin.in,False,,False,False,,,,
new india.fin.in,False,,False,False,,,,
newtap.fin.in,False,,False,False,,,,
nilgirisccb.fin.in,False,,False,False,,,,
nippon.fin.in,False,,False,False,,,,
nira.fin.in,False,,False,False,,,,
niva.fin.in,False,,False,False,,,,
npci.fin.in,False,,False,False,,,,
npcil.fin.in,False,,False,False,,,,
nsdl.fin.in,False,,False,False,,,,
nse.fin.in,False,,False,False,,,,
nutan.fin.in,False,,False,False,,,,
odishabank.fin.in,False,,False,False,,,,
odishascb.fin.in,False,,False,False,,,,
ola.fin.in,False,,False,False,,,,
olamoney.fin.in,False,,False,False,,,,
onp.fin.in,False,,False,False,,,,
oriental insurance.fin.in,False,,False,False,,,,
palusbank.fin.in,False,,False,False,,,,
pavanabank.fin.in,False,,False,False,,,,
paysense.fin.in,False,,False,False,,,,
paytm.fin.in,False,,False,False,,,,
pbfintech.fin.in,False,,False,False,,,,
pccbank.fin.in,False,,False,False,,,,
pdc.fin.in,False,,False,False,,,,
pfrda.fin.in,False,,False,False,,,,
pgb.fin.in,False,,False,False,,,,
pgbuat.fin.in,False,,False,False,,,,
phonepe.fin.in,False,,False,False,,,,
piramal.fin.in,False,,False,False,,,,
pnb.fin.in,False,,False,False,,,,
pnbuat.fin.in,False,,False,False,,,,
policybazaar.fin.in,False,,False,False,,,,
poornawadi-uat.fin.in,False,,False,False,,,,
prime.fin.in,False,,False,False,,,,
psb.fin.in,False,,False,False,,,,
punjabandsind.fin.in,False,,False,False,,,,
pytm.fin.in,False,,False,False,,,,
qnb.fin.in,False,,False,False,,,,
rajgurunagar.fin.in,False,,False,False,,,,
rajkotdccb.fin.in,False,,False,False,,,,
rapido.fin.in,False,,False,False,,,,
rbi.fin.in,False,,False,False,,,,
rbl.fin.in,False,,False,False,,,,
rebit.fin.in,False,,False,False,,,,
reliance nippon.fin.in,False,,False,False,,,,
reliance.fin.in,False,,False,False,,,,
rgb.fin.in,False,,False,False,,,,
rgbuat.fin.in,False,,False,False,,,,
rrbpuduvai.fin.in,False,,False,False,,,,
saraswat.fin.in,False,,False,False,,,,
sardar.fin.in,False,,False,False,,,,
sarvodaya.fin.in,False,,False,False,,,,
saurashtra.fin.in,False,,False,False,,,,
sbi cards.fin.in,False,,False,False,,,,
sbi.fin.in,False,,False,False,,,,
sbicap.fin.in,False,,False,False,,,,
sbilife.fin.in,False,,False,False,,,,
sbipension.fin.in,False,,False,False,,,,
sbiuat.fin.in,False,,False,False,,,,
sbm.fin.in,False,,False,False,,,,
sc.fin.in,False,,False,False,,,,
scc.fin.in,False,,False,False,,,,
sebi.fin.in,False,,False,False,,,,
sevenhills.fin.in,False,,False,False,,,,
sgmcbl.fin.in,False,,False,False,,,,
shahubankpune.fin.in,False,,False,False,,,,
shgb.fin.in,False,,False,False,,,,
shgbuat.fin.in,False,,False,False,,,,
shriram.fin.in,False,,False,False,,,,
shriveershaiv.fin.in,False,,False,False,,,,
sib.fin.in,False,,False,False,,,,
sibuat.fin.in,False,,False,False,,,,
skdccb.fin.in,False,,False,False,,,,
skfin.fin.in,False,,False,False,,,,
smriti.fin.in,False,,False,False,,,,
southindianbank.fin.in,False,,False,False,,,,
star health.fin.in,False,,False,False,,,,
starhealth.fin.in,False,,False,False,,,,
sudico.fin.in,False,,False,False,,,,
sumco.fin.in,False,,False,False,,,,
suryoday.fin.in,False,,False,False,,,,
svatantra.fin.in,False,,False,False,,,,
svc.fin.in,False,,False,False,,,,
svcuat.fin.in,False,,False,False,,,,
tamilnadugrama.fin.in,False,,False,False,,,,
tata aia.fin.in,False,,False,False,,,,
tata.fin.in,False,,False,False,,,,
tataaia.fin.in,False,,False,False,,,,
tbsbl.fin.in,False,,False,False,,,,
tcbrl.fin.in,False,,False,False,,,,
tgb.fin.in,False,,False,False,,,,
tgbuat.fin.in,False,,False,False,,,,
tgcab.fin.in,False,,False,False,,,,
tgcabuat.fin.in,False,,False,False,,,,
tgucb.fin.in,False,,False,False,,,,
theadc.fin.in,False,,False,False,,,,
thejjs.fin.in,False,,False,False,,,,
thekachchhdccb.fin.in,False,,False,False,,,,
tirunelveliccb.fin.in,False,,False,False,,,,
tjsb.fin.in,False,,False,False,,,,
tjsbuat.fin.in,False,,False,False,,,,
tmb.fin.in,False,,False,False,,,,
tmbdigital-uat.fin.in,False,,False,False,,,,
tnsc.fin.in,False,,False,False,,,,
tripuragramin.fin.in,False,,False,False,,,,
