domain,dns_resolves,ip_address,https_works,http_works,status_code,title,final_url,error
nsdl.insurance.in,False,,False,False,,,,
nse.insurance.in,False,,False,False,,,,
nutan.insurance.in,False,,False,False,,,,
odishabank.insurance.in,False,,False,False,,,,
odishascb.insurance.in,False,,False,False,,,,
ola.insurance.in,False,,False,False,,,,
olamoney.insurance.in,False,,False,False,,,,
onp.insurance.in,False,,False,False,,,,
oriental insurance.insurance.in,False,,False,False,,,,
palusbank.insurance.in,False,,False,False,,,,
pavanabank.insurance.in,False,,False,False,,,,
paysense.insurance.in,False,,False,False,,,,
paytm.insurance.in,False,,False,False,,,,
pbfintech.insurance.in,False,,False,False,,,,
pccbank.insurance.in,False,,False,False,,,,
pdc.insurance.in,False,,False,False,,,,
pfrda.insurance.in,False,,False,False,,,,
pgb.insurance.in,False,,False,False,,,,
pgbuat.insurance.in,False,,False,False,,,,
phonepe.insurance.in,False,,False,False,,,,
piramal.insurance.in,False,,False,False,,,,
pnb.insurance.in,False,,False,False,,,,
pnbuat.insurance.in,False,,False,False,,,,
policybazaar.insurance.in,False,,False,False,,,,
poornawadi-uat.insurance.in,False,,False,False,,,,
prime.insurance.in,False,,False,False,,,,
psb.insurance.in,False,,False,False,,,,
punjabandsind.insurance.in,False,,False,False,,,,
pytm.insurance.in,False,,False,False,,,,
qnb.insurance.in,False,,False,False,,,,
rajgurunagar.insurance.in,False,,False,False,,,,
rajkotdccb.insurance.in,False,,False,False,,,,
rapido.insurance.in,False,,False,False,,,,
rbi.insurance.in,False,,False,False,,,,
rbl.insurance.in,False,,False,False,,,,
rebit.insurance.in,False,,False,False,,,,
reliance nippon.insurance.in,False,,False,False,,,,
reliance.insurance.in,False,,False,False,,,,
rgb.insurance.in,False,,False,False,,,,
rgbuat.insurance.in,False,,False,False,,,,
rrbpuduvai.insurance.in,False,,False,False,,,,
saraswat.insurance.in,False,,False,False,,,,
sardar.insurance.in,False,,False,False,,,,
sarvodaya.insurance.in,False,,False,False,,,,
saurashtra.insurance.in,False,,False,False,,,,
sbi cards.insurance.in,False,,False,False,,,,
sbi.insurance.in,False,,False,False,,,,
sbicap.insurance.in,False,,False,False,,,,
sbilife.insurance.in,False,,False,False,,,,
sbipension.insurance.in,False,,False,False,,,,
sbiuat.insurance.in,False,,False,False,,,,
sbm.insurance.in,False,,False,False,,,,
sc.insurance.in,False,,False,False,,,,
scc.insurance.in,False,,False,False,,,,
sebi.insurance.in,False,,False,False,,,,
sevenhills.insurance.in,False,,False,False,,,,
sgmcbl.insurance.in,False,,False,False,,,,
shahubankpune.insurance.in,False,,False,False,,,,
shgb.insurance.in,False,,False,False,,,,
shgbuat.insurance.in,False,,False,False,,,,
shriram.insurance.in,False,,False,False,,,,
shriveershaiv.insurance.in,False,,False,False,,,,
sib.insurance.in,False,,False,False,,,,
sibuat.insurance.in,False,,False,False,,,,
skdccb.insurance.in,False,,False,False,,,,
skfin.insurance.in,False,,False,False,,,,
smriti.insurance.in,False,,False,False,,,,
southindianbank.insurance.in,False,,False,False,,,,
star health.insurance.in,False,,False,False,,,,
starhealth.insurance.in,False,,False,False,,,,
sudico.insurance.in,False,,False,False,,,,
sumco.insurance.in,False,,False,False,,,,
suryoday.insurance.in,False,,False,False,,,,
svatantra.insurance.in,False,,False,False,,,,
svc.insurance.in,False,,False,False,,,,
svcuat.insurance.in,False,,False,False,,,,
tamilnadugrama.insurance.in,False,,False,False,,,,
tata aia.insurance.in,False,,False,False,,,,
tata.insurance.in,False,,False,False,,,,
tataaia.insurance.in,False,,False,False,,,,
tbsbl.insurance.in,False,,False,False,,,,
tcbrl.insurance.in,False,,False,False,,,,
tgb.insurance.in,False,,False,False,,,,
tgbuat.insurance.in,False,,False,False,,,,
tgcab.insurance.in,False,,False,False,,,,
tgcabuat.insurance.in,False,,False,False,,,,
tgucb.insurance.in,False,,False,False,,,,
theadc.insurance.in,False,,False,False,,,,
thejjs.insurance.in,False,,False,False,,,,
thekachchhdccb.insurance.in,False,,False,False,,,,
tirunelveliccb.insurance.in,False,,False,False,,,,
tjsb.insurance.in,False,,False,False,,,,
tjsbuat.insurance.in,False,,False,False,,,,
tmb.insurance.in,False,,False,False,,,,
tmbdigital-uat.insurance.in,False,,False,False,,,,
tnsc.insurance.in,False,,False,False,,,,
tripuragramin.insurance.in,False,,False,False,,,,
tscb.insurance.in,False,,False,False,,,,
uat-paytm.insurance.in,False,,False,False,,,,
uatutkarsh.insurance.in,False,,False,False,,,,
ubi.insurance.in,False,,False,False,,,,
uco.insurance.in,False,,False,False,,,,
ucoonline.insurance.in,False,,False,False,,,,
ucouat.insurance.in,False,,False,False,,,,
uidai.insurance.in,False,,False,False,,,,
ujjivan.insurance.in,False,,False,False,,,,
ujjivansfb.insurance.in,False,,False,False,,,,
ukgb.insurance.in,False,,False,False,,,,
union.insurance.in,False,,False,False,,,,
unionbankdigital.insurance.in,False,,False,False,,,,
unionbankofindia.insurance.in,False,,False,False,,,,
unionbankonline.insurance.in,False,,False,False,,,,
unionbankportal.insurance.in,False,,False,False,,,,
united india.insurance.in,False,,False,False,,,,
universal.insurance.in,False,,False,False,,,,
upgb.insurance.in,False,,False,False,,,,
utkarsh.insurance.in,False,,False,False,,,,
varachha.insurance.in,False,,False,False,,,,
vcbl.insurance.in,False,,False,False,,,,
vcnb.insurance.in,False,,False,False,,,,
vdcuat.insurance.in,False,,False,False,,,,
vijaycooperative.insurance.in,False,,False,False,,,,
vikas.insurance.in,False,,False,False,,,,
vishweshwar.insurance.in,False,,False,False,,,,
vjsbl.insurance.in,False,,False,False,,,,
vpmccb.insurance.in,False,,False,False,,,,
wbgb.insurance.in,False,,False,False,,,,
wealth.insurance.in,False,,False,False,,,,
yes.insurance.in,False,,False,False,,,,
yesuat.insurance.in,False,,False,False,,,,
zest.insurance.in,False,,False,False,,,,
