domain,dns_resolves,ip_address,https_works,http_works,status_code,title,final_url,error
fedmobile.federal.bank.in,True,61.95.141.147,True,False,200,Request Rejected,https://fedmobile.federal.bank.in/,
fednet.federal.bank.in,True,121.243.127.68,True,False,200,Fednet Internet Banking,https://fednet.federal.bank.in/,
fedone.federal.bank.in,True,61.95.141.200,True,False,200,Request Rejected,https://fedone.federal.bank.in/,
feebook.southindianbank.bank.in,True,103.212.29.75,True,False,404,,https://feebook.southindianbank.bank.in/,
feedback.bankofmaharashtra.bank.in,True,103.91.48.36,True,False,200,"Bank Of Maharashtra:Deposit,Loan,Personal,Corporate,MSME &amp; NRI",https://feedback.bankofmaharashtra.bank.in/,
feepayment.pnb.bank.in,True,103.109.224.67,True,False,200,Home - Feepayment Portal PNB INDIA,https://feepayment.pnb.bank.in/,
fibcbranch.federal.bank.in,True,203.199.172.6,False,False,0,,,URLError: <urlopen error timed out>
finvoice.ujjivansfb.bank.in,True,13.202.134.209,True,False,403,,https://finvoice.ujjivansfb.bank.in/,
fip.agvb.bank.in,False,,False,False,,,,
firstforward.idfcfirst.bank.in,False,,False,False,,,,
firstx.cel.idfcfirst.bank.in,False,,False,False,,,,
fiu.agvb.bank.in,False,,False,False,,,,
flexatsup.hdfcuat.bank.in,False,,False,False,,,,
forexcard.au.bank.in,True,172.64.151.112,True,False,403,,https://forexcard.au.bank.in/,
forms.deutsche.bank.in,True,23.33.42.74,True,False,200,Default page,https://forms.deutsche.bank.in/,
forms.kotak.bank.in,True,104.18.16.8,True,False,404,,https://forms.kotak.bank.in/,
ftc.sbi.bank.in,False,,False,False,,,,
fxcard.indusind.bank.in,True,159.60.131.186,True,False,200,Login,https://fxcard.indusind.bank.in/iblcustomer/,
fyn.kotak.bank.in,True,104.18.17.8,True,False,200,,https://fyn.kotak.bank.in/customer/portal/,
ganapathi.bank.in,False,,False,False,,,,
gayatri.bank.in,True,13.204.219.194,True,False,200,The Gayatri Co-Operative Urban Bank Ltd &#8211; Co-Operative Urban Bank Pvt Ltd,https://gayatri.bank.in/,
genx.axis.bank.in,True,36.255.28.211,True,False,200,GenX Collections - Browser compatibility issue,https://genx.axis.bank.in/index.php/site/notice,
ggb.bank.in,True,103.118.16.203,True,False,200,Gujarat Gramin Bank (GGB),https://www.ggb.bank.in/,
ggbib.ggb.bank.in,True,117.250.145.45,False,False,0,,,URLError: <urlopen error [SSL: UNSAFE_LEGACY_RENEGOTIATION_DISABLED] unsafe legacy renegotiation disabled (_ssl.c:1000)>
giftcity.axis.bank.in,True,103.208.248.81,True,False,200,,https://giftcity.axis.bank.in/,
giftcity.indianbank.bank.in,True,103.183.72.104,True,False,200,Request Rejected,https://giftcity.indianbank.bank.in/,
giftcorpbanking.pnb.bank.in,True,103.109.224.254,True,False,200,Oracle HTTP Server 12c,https://giftcorpbanking.pnb.bank.in/,
giftretailbanking.pnb.bank.in,True,103.109.224.3,True,False,200,Oracle HTTP Server 12c,https://giftretailbanking.pnb.bank.in/,
gpcb.bank.in,True,31.97.202.228,False,False,0,,,URLError: <urlopen error timed out>
grabdeals.axis.bank.in,True,104.70.121.65,True,False,200,GRAB DEALS,https://grabdeals.axis.bank.in/,
greaterbank.bank.in,True,43.205.163.134,True,False,200,Greater Bank | India's Leading Co-operative Bank,https://greaterbank.bank.in/,
grievances.bankofindia.bank.in,True,103.109.134.101,False,False,0,,,URLError: <urlopen error timed out>
groupcompanies.icici.bank.in,True,20.204.105.107,True,False,200,"ICICI Group- Banking, Insurance, Investment, Securities, Global Private Clients",https://www.groupcompanies.icici.bank.in/,
groupmedicalinsurance.wbgb.bank.in,False,,False,False,,,,
gsmahanagar.bank.in,True,43.205.163.134,True,False,200,GS Mahanagar Co-operative Bank Ltd.,https://gsmahanagar.bank.in/,
guardianbank.bank.in,True,72.61.246.110,False,False,0,,,URLError: <urlopen error timed out>
gunturdccb.bank.in,True,68.178.161.46,True,False,200,Guntur District Co-Operative Central Bank &#8211; Guntur DCCB,https://gunturdccb.bank.in/,
gurgaondccb.bank.in,True,103.175.163.34,True,False,200,The Gurgaon Central Co-operative Bank Ltd – Gurgaon Coop Bank-The Gurgaon Central Co-operative Bank Ltd,https://gurgaondccb.bank.in/,
harco.bank.in,True,82.25.109.97,True,False,200,Harco Bank - Modern Banking,https://harco.bank.in/,
hdfcbankpayments.hdfc.bank.in,True,175.100.162.93,True,False,503,,https://hdfcbankpayments.hdfc.bank.in/,
hdfcbankprepaid.hdfc.bank.in,True,175.100.162.222,True,False,404,,https://hdfcbankprepaid.hdfc.bank.in/,
health.arunachalapexbank.bank.in,False,,False,False,,,,
help.slice.bank.in,True,172.66.0.145,True,False,200,Help center | slice,https://help.slice.bank.in/support/home,
hgb.bank.in,True,52.66.85.103,True,False,200,,https://hgb.bank.in/,
hnsb.bank.in,False,,False,False,,,,
home.icici.bank.in,True,103.27.86.127,True,False,200,Approved Projects,https://home.icici.bank.in/home,
home.sbi.bank.in,True,103.89.45.241,True,False,200,"SBI - Loans, Accounts, Cards, Investment, Deposits, Net Banking - Personal Banking",https://home.sbi.bank.in/,
homeloan.unionbankofindia.bank.in,True,115.124.113.120,True,False,200,Home Loan - Apply Now,https://homeloan.unionbankofindia.bank.in/,
homeloans.hdfc.bank.in,True,3.171.139.26,True,False,200,Housing Finance | Home Finance Company | HDFC Bank Ltd,https://homeloans.hdfc.bank.in/,
homeloans.kotak.bank.in,True,104.70.121.75,True,False,200,,https://homeloans.kotak.bank.in/,
homeloans.sbi.bank.in,True,103.209.96.225,True,False,200,SBI Home Loan,https://homeloans.sbi.bank.in/,
hooghlydccb.bank.in,True,68.178.169.3,True,False,200,Hooghly District Central co - opearative bank ltd.,https://hooghlydccb.bank.in/index,
hpscb.bank.in,True,45.113.224.79,True,False,200,Himachal Pradesh State Co-operative Bank Ltd.,https://hpscb.bank.in/,
hrconnect.indianbank.bank.in,True,103.183.72.14,True,False,200,Index Page,https://hrconnect.indianbank.bank.in/,
hrms.centralbank.bank.in,False,,False,False,,,,
hrms.nainitalbank.bank.in,True,49.50.81.143,True,False,200,eHR : Solve HR electronically,https://hrms.nainitalbank.bank.in:4436/eHRNainital/(X(1))/Login,
hrms.pnb.bank.in,False,,False,False,,,,
hrms.sbi.bank.in,True,20.204.9.187,True,False,200,,https://hrms.sbi.bank.in/,
ib.au.bank.in,True,104.18.6.127,True,False,403,,https://netbanking.au.bank.in/drb,
